Products,Months,Total Sales ($)
Flower - Strain Blends - Flower (Gram),Jul-20,"22,738,489.62"
Flower - Strain Blends - Flower (Gram),Mar-21,"22,648,507.65"
Flower - Strain Blends - Flower (Gram),May-21,"22,338,755.89"
Flower - Strain Blends - Flower (Gram),Sep-20,"21,461,950.61"
Flower - Strain Blends - Flower (Gram),Jun-21,"21,347,569.06"
Flower - Strain Blends - Flower (Gram),Aug-20,"21,332,581.23"
Flower - Strain Blends - Flower (Gram),Apr-21,"20,440,549.92"
Flower - Strain Blends - Flower (Gram),Jul-21,"20,284,791.43"
Flower - Strain Blends - Flower (Gram),Oct-20,"20,145,156.75"
Flower - Strain Blends - Flower (Gram),May-20,"20,120,357.91"
Flower - Strain Blends - Flower (Gram),Aug-21,"19,645,682.00"
Flower - Strain Blends - Flower (Gram),Dec-20,"19,626,133.83"
Flower - Strain Blends - Flower (Gram),Sep-19,"19,599,399.41"
Flower - Strain Blends - Flower (Gram),Jan-21,"19,341,965.89"
Flower - Strain Blends - Flower (Gram),Nov-20,"19,152,570.94"
Flower - Strain Blends - Flower (Gram),Mar-20,"19,029,532.25"
Flower - Strain Blends - Flower (Gram),Oct-18,"18,889,378.85"
Flower - Strain Blends - Flower (Gram),Jul-19,"18,849,659.68"
Flower - Strain Blends - Flower (Gram),Aug-19,"18,829,663.56"
Flower - Strain Blends - Flower (Gram),Sep-21,"18,676,827.83"
Flower - Strain Blends - Flower (Gram),Jun-20,"18,422,762.78"
Flower - Strain Blends - Flower (Gram),Dec-19,"18,272,015.96"
Flower - Strain Blends - Flower (Gram),Dec-18,"18,061,149.21"
Flower - Strain Blends - Flower (Gram),May-19,"18,024,091.86"
Flower - Strain Blends - Flower (Gram),Feb-21,"17,829,548.02"
Flower - Strain Blends - Flower (Gram),Jan-20,"17,568,039.76"
Flower - Strain Blends - Flower (Gram),Oct-19,"17,523,898.69"
Flower - Strain Blends - Flower (Gram),Jun-19,"16,895,348.92"
Flower - Strain Blends - Flower (Gram),Nov-19,"16,682,580.72"
Flower - Strain Blends - Flower (Gram),Apr-20,"16,659,653.80"
Flower - Strain Blends - Flower (Gram),Jan-19,"16,503,242.85"
Flower - Strain Blends - Flower (Gram),Feb-20,"16,502,105.66"
Flower - Strain Blends - Flower (Gram),Mar-19,"16,468,687.05"
Flower - Strain Blends - Flower (Gram),Apr-19,"15,755,920.95"
Flower - Strain Blends - Flower (Gram),Nov-18,"15,669,022.45"
Flower - Strain Blends - Flower (Gram),Feb-19,"14,747,898.09"
Flower - Indica Strain Blends - Flower (Gram),Oct-18,"5,933,965.70"
Flower - Indica Strain Blends - Flower (Gram),Dec-18,"5,758,526.58"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Dec-18,"5,639,832.70"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Mar-19,"5,632,907.24"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",May-19,"5,519,761.07"
Flower - Indica Strain Blends - Flower (Gram),Mar-19,"5,443,718.53"
Flower - Indica Strain Blends - Flower (Gram),Jan-19,"5,203,680.94"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Oct-18,"5,185,202.81"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Nov-18,"5,140,895.61"
Flower - Indica Strain Blends - Flower (Gram),Nov-18,"5,100,962.06"
Flower - Indica Strain Blends - Flower (Gram),May-21,"5,060,037.65"
Flower - Indica Strain Blends - Flower (Gram),Dec-20,"5,030,744.62"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jan-19,"4,987,109.78"
Flower - Indica Strain Blends - Flower (Gram),Apr-19,"4,964,359.26"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Apr-19,"4,926,049.10"
Flower - Indica Strain Blends - Flower (Gram),Aug-19,"4,920,911.89"
Flower - Indica Strain Blends - Flower (Gram),Feb-19,"4,909,810.79"
Flower - Indica Strain Blends - Flower (Gram),May-19,"4,903,406.72"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Feb-19,"4,899,048.36"
Flower - Indica Strain Blends - Flower (Gram),Aug-20,"4,881,870.73"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jul-19,"4,867,927.59"
Flower - Indica Strain Blends - Flower (Gram),Oct-19,"4,799,185.10"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jun-19,"4,787,752.40"
Flower - Indica Strain Blends - Flower (Gram),Jul-20,"4,782,184.70"
Flower - Indica Strain Blends - Flower (Gram),Mar-21,"4,774,852.75"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",May-21,"4,760,316.28"
Flower - Indica Strain Blends - Flower (Gram),Jul-19,"4,677,301.51"
Flower - Indica Strain Blends - Flower (Gram),Sep-19,"4,640,996.88"
Flower - Sativa Strain Blends - Flower (Gram),Mar-19,"4,608,785.06"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Sep-21,"4,601,529.43"
Flower - Indica Strain Blends - Flower (Gram),Apr-21,"4,588,806.09"
Flower - Indica Strain Blends - Flower (Gram),Sep-20,"4,553,216.53"
Flower - Indica Strain Blends - Flower (Gram),Nov-20,"4,548,060.68"
Flower - Indica Strain Blends - Flower (Gram),May-20,"4,529,424.74"
Flower - Indica Strain Blends - Flower (Gram),Aug-21,"4,494,285.19"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jun-21,"4,455,115.06"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Aug-19,"4,432,688.39"
Flower - Indica Strain Blends - Flower (Gram),Nov-19,"4,431,765.51"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Feb-20,"4,428,117.13"
Flower - Indica Strain Blends - Flower (Gram),Jun-21,"4,401,038.06"
Flower - Indica Strain Blends - Flower (Gram),Dec-19,"4,373,688.34"
Flower - Indica Strain Blends - Flower (Gram),Feb-20,"4,339,765.74"
Flower - Indica Strain Blends - Flower (Gram),Mar-20,"4,325,378.63"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Nov-19,"4,325,021.52"
Flower - Indica Strain Blends - Flower (Gram),Jan-21,"4,311,698.59"
Flower - Sativa Strain Blends - Flower (Gram),Feb-19,"4,293,217.97"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Sep-19,"4,288,730.98"
Flower - Indica Strain Blends - Flower (Gram),Sep-21,"4,278,412.17"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jul-21,"4,264,354.43"
Flower - Sativa Strain Blends - Flower (Gram),Jan-19,"4,258,475.75"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Aug-21,"4,251,460.45"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Oct-19,"4,223,547.95"
Flower - Indica Strain Blends - Flower (Gram),Oct-20,"4,211,887.04"
Flower - Sativa Strain Blends - Flower (Gram),Oct-18,"4,179,295.69"
Flower - Indica Strain Blends - Flower (Gram),Jul-21,"4,175,038.88"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Mar-20,"4,157,015.85"
Flower - Indica Strain Blends - Flower (Gram),Feb-21,"4,136,624.24"
Flower - Sativa Strain Blends - Flower (Gram),Nov-18,"4,135,340.55"
Flower - Sativa Strain Blends - Flower (Gram),Jun-19,"4,133,080.97"
Flower - Indica Strain Blends - Flower (Gram),Jun-19,"4,094,079.23"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Dec-20,"4,086,341.15"
Flower - Indica Strain Blends - Flower (Gram),Jan-20,"4,086,201.89"
Flower - Sativa Strain Blends - Flower (Gram),Jul-19,"4,074,876.18"
Flower - Sativa Strain Blends - Flower (Gram),Dec-18,"3,981,466.50"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Aug-20,"3,942,640.23"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jan-20,"3,923,121.69"
Flower - Indica Strain Blends - Flower (Gram),Jun-20,"3,919,753.90"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Sep-20,"3,911,206.18"
Flower - Sativa Strain Blends - Flower (Gram),Aug-20,"3,909,146.61"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Apr-21,"3,887,030.68"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jul-20,"3,855,735.47"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jan-21,"3,838,947.58"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Nov-20,"3,820,916.10"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Mar-21,"3,786,700.85"
Flower - Sativa Strain Blends - Flower (Gram),Apr-19,"3,771,201.55"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Dec-19,"3,734,036.68"
Flower - Sativa Strain Blends - Flower (Gram),Aug-19,"3,728,296.81"
Flower - Sativa Strain Blends - Flower (Gram),Sep-20,"3,672,535.90"
Flower - Sativa Strain Blends - Flower (Gram),May-19,"3,665,923.06"
Flower - Indica Strain Blends - Flower (Gram),Apr-20,"3,662,236.25"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Oct-20,"3,640,944.93"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",May-20,"3,550,770.32"
Flower - Sativa Strain Blends - Flower (Gram),Mar-20,"3,482,224.64"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Jun-20,"3,468,486.59"
Flower - Sativa Strain Blends - Flower (Gram),Jul-20,"3,447,777.36"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Apr-20,"3,333,572.66"
Flower - Sativa Strain Blends - Flower (Gram),Sep-19,"3,295,362.33"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack",Feb-21,"3,270,052.11"
Flower - Sativa Strain Blends - Flower (Gram),Mar-21,"3,161,933.51"
Flower - Sativa Strain Blends - Flower (Gram),May-20,"3,089,040.91"
Flower - Sativa Strain Blends - Flower (Gram),Apr-20,"3,016,545.56"
Flower - Sativa Strain Blends - Flower (Gram),Jul-21,"3,009,470.18"
Flower - Sativa Strain Blends - Flower (Gram),Jun-20,"2,992,611.75"
Flower - Sativa Strain Blends - Flower (Gram),Jan-21,"2,992,061.06"
Flower - Sativa Strain Blends - Flower (Gram),Nov-19,"2,945,067.62"
Flower - Sativa Strain Blends - Flower (Gram),Jun-21,"2,929,672.05"
Flower - Sativa Strain Blends - Flower (Gram),Sep-21,"2,875,399.35"
Flower - Sativa Strain Blends - Flower (Gram),Feb-20,"2,858,780.92"
Flower - Sativa Strain Blends - Flower (Gram),Dec-19,"2,822,012.70"
Flower - Sativa Strain Blends - Flower (Gram),Feb-21,"2,759,361.36"
Flower - Sativa Strain Blends - Flower (Gram),May-21,"2,743,440.13"
Flower - Sativa Strain Blends - Flower (Gram),Dec-20,"2,739,734.70"
Flower - Sativa Strain Blends - Flower (Gram),Jan-20,"2,731,439.51"
Flower - Sativa Strain Blends - Flower (Gram),Apr-21,"2,717,504.88"
Flower - Sativa Strain Blends - Flower (Gram),Oct-20,"2,687,738.13"
Flower - Sativa Strain Blends - Flower (Gram),Oct-19,"2,586,249.72"
Flower - Sativa Strain Blends - Flower (Gram),Nov-20,"2,511,985.37"
Flower - Sativa Strain Blends - Flower (Gram),Aug-21,"2,382,606.20"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Apr-21,"1,737,521.82"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Mar-21,"1,670,694.63"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Sep-20,"1,635,238.12"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Nov-20,"1,632,266.44"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jul-20,"1,611,472.43"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Oct-20,"1,605,771.91"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Dec-20,"1,568,935.20"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Aug-21,"1,557,907.01"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Aug-20,"1,544,597.17"
Concentrate - Strain Blends - Distillate Cartridge,Aug-21,"1,540,991.45"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Mar-21,"1,521,126.98"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Apr-21,"1,517,223.16"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Jul-21,"1,510,388.99"
Pacific Stone - Wedding Cake - Flower (Gram),Sep-20,"1,503,661.74"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jul-21,"1,502,009.29"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Apr-21,"1,501,011.92"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jan-21,"1,478,009.80"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jul-20,"1,470,281.69"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Sep-21,"1,468,360.24"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Mar-20,"1,458,856.57"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",May-21,"1,457,099.25"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jul-21,"1,456,829.61"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Nov-20,"1,444,879.62"
